date,time_ist,type,slug,status,link,views_1h,comments_1h,views_6h,comments_6h,views_24h,comments_24h,views_now,comments_now,likes_now,saves_now,shares_now,avg_watch_s,views_pct_1h_to_6h,views_pct_6h_to_24h,views_pct_24h_to_now,variant,reason,commentary
29 Aug '26 (Sat),02:46 IST,reel,tr-herdr,published,https://www.instagram.com/reel/DcmTiVED0KY/,3,1,11,1,11,1,11,1,0,0,0,1.6,267,0,0,18s · Claude · v4,,early days (2h in); 1 comment(s) — the DM funnel fired
29 Aug '26 (Sat),10:30 IST,carousel,tool-deeptutor,scheduled,,,,,,,,,,,,,,,,,,,
29 Aug '26 (Sat),14:00 IST,reel,tr-llmfit,scheduled,,,,,,,,,,,,,,,,,34s · ChatGPT · v4,,repo reserved: hidden until posted
29 Aug '26 (Sat),19:00 IST,reel,tr-obsidian-skills,scheduled,,,,,,,,,,,,,,,,,18s · Claude · v4,,repo reserved: hidden until posted
30 Aug '26 (Sun),10:30 IST,carousel,workflow-auto-client-brief-analyzer,scheduled,,,,,,,,,,,,,,,,,,,
30 Aug '26 (Sun),14:00 IST,reel,tr-oh-my-claudecode,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
30 Aug '26 (Sun),19:00 IST,reel,tr-opencli,scheduled,,,,,,,,,,,,,,,,,18s · Claude · v4,,repo reserved: hidden until posted
31 Aug '26 (Mon),10:30 IST,carousel,workflow-how-to-get-credentials,scheduled,,,,,,,,,,,,,,,,,,,
31 Aug '26 (Mon),14:00 IST,reel,tr-opencodex,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
31 Aug '26 (Mon),19:00 IST,reel,tr-qwenpaw,scheduled,,,,,,,,,,,,,,,,,18s · ChatGPT · v4,,repo reserved: hidden until posted
01 Sep '26 (Tue),10:30 IST,carousel,workflow-interior-design-client-evaluation-template,scheduled,,,,,,,,,,,,,,,,,,,
01 Sep '26 (Tue),14:00 IST,reel,tr-omniroute,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
01 Sep '26 (Tue),19:00 IST,reel,tr-book-to-skill,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
02 Sep '26 (Wed),10:30 IST,carousel,skill-spline-3d-integration,scheduled,,,,,,,,,,,,,,,,,,,
02 Sep '26 (Wed),14:00 IST,reel,tr-officecli,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
02 Sep '26 (Wed),19:00 IST,reel,tr-i-have-adhd,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
03 Sep '26 (Thu),14:00 IST,reel,tr-archify,scheduled,,,,,,,,,,,,,,,,,34s · Claude · v4,,repo reserved: hidden until posted
